"m_id","temperature","humidity","m_name","winddirection","windspeed","m_date","lat","lot"
"272",,,"WT1","312.2","3.7","2023-04-11 10:50:44","35.456703","129.328354"
"273",,,"WT2","246.5","3.1","2023-04-11 10:50:44","35.456997","129.328217"
"274",,,"WT3","234.32","2.6","2023-04-11 10:50:44","35.456944","129.326667"
"275",,,"WT4","250.33","3.7","2023-04-11 10:50:44","35.455063","129.327988"
"276",,,"WT5","234.33","5.9","2023-04-11 10:50:44","35.45512","129.330215"
"277",,,"WT6","277.75","4.55","2023-04-11 10:50:44","35.455124","129.330612"
"278",,,"WT7","202","2.73","2023-04-11 10:50:44","35.455727","129.329498"
"279",,,"WT8","234.36","3.73","2023-04-11 10:50:44","35.456108","129.3302"
"280",,,"WT1","316.32","2.17","2023-04-11 10:49:38","35.456703","129.328354"
"281",,,"WT2","235.21","2.43","2023-04-11 10:49:38","35.456997","129.328217"
"282",,,"WT3","234.34","2.62","2023-04-11 10:49:38","35.456944","129.326667"
"283",,,"WT4","245.69","3.42","2023-04-11 10:49:38","35.455063","129.327988"
"284",,,"WT5","252","3.73","2023-04-11 10:49:38","35.45512","129.330215"
"285",,,"WT6","284.01","2.93","2023-04-11 10:49:38","35.455124","129.330612"
"286",,,"WT7","229.21","2.07","2023-04-11 10:49:38","35.455727","129.329498"
"287",,,"WT8","251.25","2.08","2023-04-11 10:49:38","35.456108","129.3302"
"288",,,"WT1","316.3","2.02","2023-04-11 10:48:32","35.456703","129.328354"
"289",,,"WT2","304","1.4","2023-04-11 10:48:32","35.456997","129.328217"
"290",,,"WT3","262.61","2.52","2023-04-11 10:48:32","35.456944","129.326667"
"291",,,"WT4","206.86","2.17","2023-04-11 10:48:32","35.455063","129.327988"
"292",,,"WT5","224.33","3.57","2023-04-11 10:48:32","35.45512","129.330215"
"293",,,"WT6","267.05","2.95","2023-04-11 10:48:32","35.455124","129.330612"
"294",,,"WT7","230.5","1.8","2023-04-11 10:48:32","35.455727","129.329498"
"295",,,"WT8","271.83","2.22","2023-04-11 10:48:32","35.456108","129.3302"
"296",,,"WT1","299","2.12","2023-04-11 10:47:26","35.456703","129.328354"
"297",,,"WT2","226.7","3.13","2023-04-11 10:47:26","35.456997","129.328217"
"298",,,"WT3","231.55","2.22","2023-04-11 10:47:26","35.456944","129.326667"
"299",,,"WT4","233","1.9","2023-04-11 10:47:26","35.455063","129.327988"
"300",,,"WT5","295.33","1.93","2023-04-11 10:47:26","35.45512","129.330215"
"301",,,"WT6","324.5","1.3","2023-04-11 10:47:26","35.455124","129.330612"
"302",,,"WT7","197.34","2.27","2023-04-11 10:47:26","35.455727","129.329498"
"303",,,"WT8","250","2.05","2023-04-11 10:47:26","35.456108","129.3302"
"304",,,"WT1","305.85","1.85","2023-04-11 10:46:20","35.456703","129.328354"
"305",,,"WT2","245.55","1.65","2023-04-11 10:46:20","35.456997","129.328217"
"306",,,"WT3","238.99","3.38","2023-04-11 10:46:20","35.456944","129.326667"
"307",,,"WT4","231.26","4.83","2023-04-11 10:46:20","35.455063","129.327988"
"308",,,"WT5","218.81","3.5","2023-04-11 10:46:20","35.45512","129.330215"
"309",,,"WT6","268.25","3.12","2023-04-11 10:46:20","35.455124","129.330612"
"310",,,"WT7","201.61","3.13","2023-04-11 10:46:20","35.455727","129.329498"
"311",,,"WT8","253.23","1.17","2023-04-11 10:46:20","35.456108","129.3302"
"312",,,"WT1","304.61","2.08","2023-04-11 10:45:14","35.456703","129.328354"
